Step,Time,X,Y,Z,Ex,Ey,Ez
92,92.0000,0.000140,0.025221,0.035923,1.279525e-009,6.502054e-005,8.158044e-006
93,93.0000,0.000140,0.024246,0.035789,1.228163e-009,6.239099e-005,8.127898e-006
94,94.0000,0.000140,0.023310,0.035655,1.178848e-009,5.986778e-005,8.097851e-006
95,95.0000,0.000140,0.022413,0.035522,1.131499e-009,5.744661e-005,8.067903e-006
96,96.0000,0.000140,0.021551,0.035389,1.086039e-009,5.512336e-005,8.038053e-006
97,97.0000,0.000140,0.020725,0.035257,1.042394e-009,5.289407e-005,8.008303e-006
98,98.0000,0.000140,0.019932,0.035125,1.000493e-009,5.075493e-005,7.978651e-006
99,99.0000,0.000140,0.019171,0.034994,9.602656e-010,4.870230e-005,7.949098e-006
100,100.0000,0.000140,0.018440,0.034863,9.216468e-010,4.673269e-005,7.919645e-006
101,101.0000,0.000140,0.017740,0.034733,8.845728e-010,4.484273e-005,7.890291e-006
102,102.0000,0.000140,0.017067,0.034603,8.489825e-010,4.302921e-005,7.861036e-006
103,103.0000,0.000140,0.016422,0.034474,8.148170e-010,4.128902e-005,7.831881e-006
104,104.0000,0.000140,0.015803,0.034345,7.820199e-010,3.961922e-005,7.802825e-006
105,105.0000,0.000140,0.015209,0.034217,7.505368e-010,3.801694e-005,7.773869e-006
106,106.0000,0.000141,0.014639,0.034089,7.203157e-010,3.647946e-005,7.745012e-006
107,107.0000,0.000141,0.014092,0.033962,6.913064e-010,3.500416e-005,7.716255e-006
108,108.0000,0.000141,0.013567,0.033835,6.634606e-010,3.358853e-005,7.687597e-006
109,109.0000,0.000141,0.013063,0.033708,6.367322e-010,3.223014e-005,7.659038e-006
110,110.0000,0.000141,0.012580,0.033582,6.110765e-010,3.092669e-005,7.630579e-006
111,111.0000,0.000141,0.012117,0.033457,5.864509e-010,2.967596e-005,7.602219e-006
112,112.0000,0.000141,0.011672,0.033332,5.628143e-010,2.847581e-005,7.573958e-006
113,113.0000,0.000141,0.011245,0.033207,5.401273e-010,2.732419e-005,7.545796e-006
114,114.0000,0.000141,0.010835,0.033083,5.183518e-010,2.621915e-005,7.517733e-006
115,115.0000,0.000141,0.010442,0.032960,4.974517e-010,2.515879e-005,7.489769e-006
116,116.0000,0.000141,0.010065,0.032836,4.773917e-010,2.414132e-005,7.461904e-006
117,117.0000,0.000141,0.009703,0.032714,4.581385e-010,2.316500e-005,7.434137e-006
118,118.0000,0.000141,0.009355,0.032591,4.396597e-010,2.222817e-005,7.406469e-006
119,119.0000,0.000141,0.009022,0.032470,4.219243e-010,2.132922e-005,7.378899e-006
120,120.0000,0.000141,0.008702,0.032348,4.049026e-010,2.046662e-005,7.351427e-006
121,121.0000,0.000141,0.008395,0.032227,3.885659e-010,1.963891e-005,7.324053e-006
122,122.0000,0.000141,0.008101,0.032107,3.728869e-010,1.884468e-005,7.296777e-006
123,123.0000,0.000141,0.007818,0.031987,3.578393e-010,1.808256e-005,7.269599e-006
124,124.0000,0.000141,0.007547,0.031867,3.433975e-010,1.735127e-005,7.242518e-006
125,125.0000,0.000141,0.007287,0.031748,3.295375e-010,1.664955e-005,7.215534e-006
126,126.0000,0.000141,0.007037,0.031630,3.162358e-010,1.597621e-005,7.188647e-006
127,127.0000,0.000141,0.006798,0.031511,3.034701e-010,1.533010e-005,7.161857e-006
128,128.0000,0.000141,0.006568,0.031394,2.912187e-010,1.471012e-005,7.135164e-006
129,129.0000,0.000141,0.006347,0.031276,2.794611e-010,1.411522e-005,7.108567e-006
130,130.0000,0.000141,0.006136,0.031159,2.681775e-010,1.354437e-005,7.082066e-006
131,131.0000,0.000141,0.005933,0.031043,2.573487e-010,1.299661e-005,7.055661e-006
132,132.0000,0.000141,0.005738,0.030927,2.469565e-010,1.247100e-005,7.029352e-006
133,133.0000,0.000141,0.005551,0.030811,2.369834e-010,1.196665e-005,7.003138e-006
134,134.0000,0.000141,0.005371,0.030696,2.274125e-010,1.148270e-005,6.977019e-006
135,135.0000,0.000141,0.005199,0.030581,2.182276e-010,1.101831e-005,6.950996e-006
136,136.0000,0.000141,0.005034,0.030467,2.094132e-010,1.057271e-005,6.925067e-006
137,137.0000,0.000141,0.004875,0.030353,2.009544e-010,1.014513e-005,6.899233e-006
138,138.0000,0.000141,0.004723,0.030240,1.928369e-010,9.734842e-006,6.873493e-006
139,139.0000,0.000141,0.004577,0.030127,1.850469e-010,9.341146e-006,6.847846e-006
140,140.0000,0.000141,0.004437,0.030014,1.775713e-010,8.963372e-006,6.822294e-006
141,141.0000,0.000141,0.004303,0.029902,1.703973e-010,8.600876e-006,6.796835e-006
142,142.0000,0.000141,0.004174,0.029790,1.635129e-010,8.253040e-006,6.771469e-006
143,143.0000,0.000141,0.004050,0.029679,1.569064e-010,7.919271e-006,6.746197e-006
144,144.0000,0.000141,0.003931,0.029568,1.505666e-010,7.599000e-006,6.721016e-006
145,145.0000,0.000141,0.003818,0.029457,1.444827e-010,7.291682e-006,6.695929e-006
146,146.0000,0.000141,0.003708,0.029347,1.386444e-010,6.996792e-006,6.670933e-006
147,147.0000,0.000141,0.003603,0.029237,1.330419e-010,6.713828e-006,6.646029e-006
148,148.0000,0.000141,0.003503,0.029128,1.276656e-010,6.442308e-006,6.621217e-006
149,149.0000,0.000141,0.003406,0.029019,1.225063e-010,6.181769e-006,6.596496e-006
150,150.0000,0.000141,0.003313,0.028911,1.175554e-010,5.931766e-006,6.571866e-006
